step,action,reward,balance,shares_held,portfolio_value,price,timestamp
198,1.0,0.000628850463424169,0.0,0.23111005638526966,9935.571545539393,42990.65,2024-01-13 22:00:00
199,1.0,-0.003297016064392301,0.0,0.23111005638526966,9902.60138489547,42847.99,2024-01-13 23:00:00
200,1.0,-0.003712320835716491,0.0,0.23111005638526966,9865.478176538305,42687.36,2024-01-14 00:00:00
201,1.0,0.0018911735914007295,0.0,0.23111005638526966,9884.389912452312,42769.19,2024-01-14 01:00:00
202,1.0,0.00022810562565209693,0.0,0.23111005638526966,9886.670968708833,42779.06,2024-01-14 02:00:00
203,1.0,-0.0022473141882903293,0.0,0.23111005638526966,9864.19782682593,42681.82,2024-01-14 03:00:00
204,1.0,-0.0023529314840583537,0.0,0.23111005638526966,9840.668511985346,42580.01,2024-01-14 04:00:00
205,1.0,0.003928408738436701,0.0,0.23111005638526966,9879.952599369713,42749.99,2024-01-14 05:00:00
206,1.0,0.0057546404039932894,0.0,0.23111005638526966,9937.499003409646,42998.99,2024-01-14 06:00:00
207,1.0,0.0002877320201996554,0.0,0.23111005638526966,9940.376323611643,43011.44,2024-01-14 07:00:00
208,1.0,-0.0003510561756493189,0.0,0.23111005638526966,9936.86576185515,42996.25,2024-01-14 08:00:00
209,1.0,0.0012979140766597992,0.0,0.23111005638526966,9949.844902621748,43052.41,2024-01-14 09:00:00
210,1.0,-0.0037756449911661547,0.0,0.23111005638526966,9912.088452710086,42889.04,2024-01-14 10:00:00
211,1.0,-0.001364704882955084,0.0,0.23111005638526966,9898.441403880535,42829.99,2024-01-14 11:00:00
212,1.0,-0.0016637612959175384,0.0,0.23111005638526966,9881.80379092136,42758.0,2024-01-14 12:00:00
213,1.0,0.003089710343814659,0.0,0.23111005638526966,9912.700894359506,42891.69,2024-01-14 13:00:00
214,1.0,-0.0018419471493905802,0.0,0.23111005638526966,9894.2814228656,42811.99,2024-01-14 14:00:00
215,1.0,0.0021352258109434844,0.0,0.23111005638526966,9915.633680975036,42904.38,2024-01-14 15:00:00
216,1.0,0.0005909484141771827,0.0,0.23111005638526966,9921.543165116807,42929.95,2024-01-14 16:00:00
217,1.0,0.0010011687642609104,0.0,0.23111005638526966,9931.554852759416,42973.27,2024-01-14 17:00:00
218,1.0,-0.001693112273078441,0.0,0.23111005638526966,9914.623730028632,42900.01,2024-01-14 18:00:00
219,1.0,-0.005546872463302862,0.0,0.23111005638526966,9859.155005395603,42660.0,2024-01-14 19:00:00
220,1.0,-0.0035147217375071705,0.0,0.23111005638526966,9824.007788020532,42507.92,2024-01-14 20:00:00
221,1.0,0.0010855239348415125,0.0,0.23111005638526966,9834.863027368947,42554.89,2024-01-14 21:00:00
222,1.0,-0.0065612145007777145,0.0,0.23111005638526966,9769.25088236117,42270.99,2024-01-14 22:00:00
223,1.0,-0.012448512077136183,0.0,0.23111005638526966,9644.765761589808,41732.35,2024-01-14 23:00:00
224,1.0,0.012650964486529664,0.0,0.23111005638526966,9771.275406455105,42279.75,2024-01-15 00:00:00
225,1.0,-0.00010561729576802463,0.0,0.23111005638526966,9770.219233497424,42275.18,2024-01-15 01:00:00
226,1.0,0.0028782446422221256,0.0,0.23111005638526966,9799.001679919646,42399.72,2024-01-15 02:00:00
227,1.0,0.0038426669075179234,0.0,0.23111005638526966,9837.428348994825,42565.99,2024-01-15 03:00:00
228,1.0,0.0005958017253611615,0.0,0.23111005638526966,9843.386366248436,42591.77,2024-01-15 04:00:00
229,1.0,0.0034222777149530885,0.0,0.23111005638526966,9877.609143397967,42739.85,2024-01-15 05:00:00
230,1.0,-0.002051101750419366,0.0,0.23111005638526966,9857.098125893774,42651.1,2024-01-15 06:00:00
231,1.0,0.0014717088390614663,0.0,0.23111005638526966,9871.815214284388,42714.78,2024-01-15 07:00:00
232,1.0,-0.0007936319336269661,0.0,0.23111005638526966,9863.878894948119,42680.44,2024-01-15 08:00:00
233,1.0,0.0016279392371778157,0.0,0.23111005638526966,9880.158287319897,42750.88,2024-01-15 09:00:00
234,1.0,-0.004289864866623247,0.0,0.23111005638526966,9837.259638653664,42565.26,2024-01-15 10:00:00
235,1.0,0.0030675237784014825,0.0,0.23111005638526966,9867.93487643768,42697.99,2024-01-15 11:00:00
236,1.0,-0.0007903963928374651,0.0,0.23111005638526966,9860.030912509304,42663.79,2024-01-15 12:00:00
237,1.0,0.0043622023142719625,0.0,0.23111005638526966,9903.652935652024,42852.54,2024-01-15 13:00:00
238,1.0,-0.015103966625002976,0.0,0.23111005638526966,9752.613269401994,42199.0,2024-01-15 14:00:00
239,1.0,0.0018486493410257026,0.0,0.23111005638526966,9771.099762812251,42278.99,2024-01-15 15:00:00
240,1.0,0.005630303193658074,0.0,0.23111005638526966,9827.402794748832,42522.61,2024-01-15 16:00:00
241,1.0,0.004020621650934481,0.0,0.23111005638526966,9867.609011258177,42696.58,2024-01-15 17:00:00
242,1.0,0.007377957440043247,0.0,0.23111005638526966,9941.38858565861,43015.82,2024-01-15 18:00:00
243,1.0,-0.0005350197805319112,0.0,0.23111005638526966,9936.03838785329,42992.67,2024-01-15 19:00:00
244,1.0,-0.0007550365542105282,0.0,0.23111005638526966,9928.488022311185,42960.0,2024-01-15 20:00:00
245,1.0,-0.005639085375800642,0.0,0.23111005638526966,9872.097168553179,42716.0,2024-01-15 21:00:00
246,1.0,-0.0020337684961903506,0.0,0.23111005638526966,9851.759483591275,42628.0,2024-01-15 22:00:00
247,1.0,-0.0027016765591439252,0.0,0.23111005638526966,9824.742717999836,42511.1,2024-01-15 23:00:00
248,1.0,0.002054568401265169,0.0,0.23111005638526966,9845.288402012487,42600.0,2024-01-16 00:00:00
249,1.0,-0.0003619183482993321,0.0,0.23111005638526966,9841.669218529494,42584.34,2024-01-16 01:00:00
250,1.0,0.002904128968537225,0.0,0.23111005638526966,9870.710508214866,42710.0,2024-01-16 02:00:00
